PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),shifted spectra
-7.68511E+01, 9.03318E-01
-7.65524E+01, 5.67930E-03
-7.62537E+01, 9.17219E-01
-7.59551E+01, 0.00000E+00
-7.56564E+01, 0.00000E+00
-7.53577E+01, 0.00000E+00
-7.50590E+01, 0.00000E+00
-7.47603E+01, 1.49058E-01
-7.44617E+01, 8.66259E-01
-7.41630E+01, 0.00000E+00
-7.38643E+01, 0.00000E+00
-7.35656E+01, 0.00000E+00
-7.32669E+01, 1.67163E-01
-7.29683E+01, 8.31335E-01
-7.26696E+01, 0.00000E+00
-7.23709E+01, 0.00000E+00
-7.20722E+01, 0.00000E+00
-7.17735E+01, 0.00000E+00
-7.14749E+01, 0.00000E+00
-7.11762E+01, 0.00000E+00
-7.08775E+01, 0.00000E+00
-7.05788E+01, 0.00000E+00
-7.02802E+01, 0.00000E+00
-6.99815E+01, 0.00000E+00
-6.96828E+01, 1.49777E-01
-6.93841E+01, 1.00821E+00
-6.90854E+01, 8.11082E-01
-6.87868E+01, 0.00000E+00
-6.84881E+01, 0.00000E+00
-6.81894E+01, 0.00000E+00
-6.78907E+01, 0.00000E+00
-6.75920E+01, 0.00000E+00
