PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),monitor function
-8.13313E+01, 5.05738E+07
-8.10326E+01, 5.03913E+07
-8.07339E+01, 5.03081E+07
-8.04352E+01, 5.03176E+07
-8.01366E+01, 5.01506E+07
-7.98379E+01, 5.00235E+07
-7.95392E+01, 5.01321E+07
-7.92405E+01, 5.03551E+07
-7.89418E+01, 5.05270E+07
-7.86432E+01, 5.04167E+07
-7.83445E+01, 5.04277E+07
-7.80458E+01, 5.01619E+07
-7.77471E+01, 5.01608E+07
-7.74484E+01, 4.98724E+07
-7.71498E+01, 4.98490E+07
-7.68511E+01, 4.98795E+07
-7.65524E+01, 4.98529E+07
-7.62537E+01, 4.97893E+07
-7.59551E+01, 4.96985E+07
-7.56564E+01, 4.97348E+07
-7.53577E+01, 4.94638E+07
-7.50590E+01, 4.95299E+07
-7.47603E+01, 4.94804E+07
-7.44617E+01, 4.95615E+07
-7.41630E+01, 4.95613E+07
-7.38643E+01, 4.94059E+07
-7.35656E+01, 4.95840E+07
-7.32669E+01, 4.94434E+07
-7.29683E+01, 4.94625E+07
-7.26696E+01, 4.93678E+07
-7.23709E+01, 4.94865E+07
-7.20722E+01, 4.94861E+07
-7.17735E+01, 4.92497E+07
-7.14749E+01, 4.93094E+07
-7.11762E+01, 4.93778E+07
-7.08775E+01, 4.92508E+07
-7.05788E+01, 4.91380E+07
-7.02802E+01, 4.91225E+07
-6.99815E+01, 4.93234E+07
-6.96828E+01, 4.91654E+07
-6.93841E+01, 4.90526E+07
-6.90854E+01, 4.89909E+07
-6.87868E+01, 4.88899E+07
-6.84881E+01, 4.87875E+07
-6.81894E+01, 4.88084E+07
-6.78907E+01, 4.88853E+07
-6.75920E+01, 4.90834E+07
-6.72934E+01, 4.89887E+07
